doc_no,doc_type,placement_ref,doc_date,net_amount,currency,modified_at
INV-101131,INV,PL-001131,04/01/2024,93037.2,HKD,05/01/2024 10:18
CRN-200099,CRN,PL-001131,12/02/2024,93037.2,HKD,14/02/2024 15:16
INV-101132,INV,PL-001132,09/01/2024,19580.0,EUR,10/01/2024 13:23
INV-101133,INV,PL-001133,17/01/2024,12937.0,EUR,19/01/2024 12:10
INV-101134,INV,PL-001134,25/02/2024,23660.0,CHF,26/02/2024 10:39
CRN-200100,CRN,PL-001134,29/03/2024,23660.0,CHF,30/03/2024 14:09
INV-101135,INV,PL-001135,11/02/2024,16625.0,EUR,11/02/2024 07:13
INV-101136,INV,PL-001136,15/01/2024,13752.0,GBP,15/01/2024 18:29
INV-101137,INV,PL-001137,25/01/2024,17630.1,CHF,27/01/2024 16:13
CRN-200101,CRN,PL-001137,02/02/2024,17630.1,CHF,02/02/2024 08:50
INV-101138,INV,PL-001138,12/01/2024,34337.5,USD,13/01/2024 09:48
INV-101139,INV,PL-001139,22/01/2024,24120.3,USD,23/01/2024 13:29
INV-101140,INV,PL-001140,19/02/2024,15515.5,EUR,19/02/2024 18:43
INV-101141,INV,PL-001141,24/02/2024,18509.0,GBP,25/02/2024 10:12
INV-101142,INV,PL-001142,17/01/2024,15096.9,GBP,18/01/2024 18:01
CRN-200102,CRN,PL-001142,27/03/2024,7548.45,GBP,27/03/2024 14:21
INV-101143,INV,PL-001143,26/01/2024,14876.4,EUR,26/01/2024 16:21
INV-101144,INV,PL-001144,10/02/2024,44173.8,MYR,12/02/2024 20:45
INV-101145,INV,PL-001145,23/02/2024,20497.2,USD,24/02/2024 14:49
CRN-200103,CRN,PL-001145,13/03/2024,20497.2,USD,15/03/2024 13:31
INV-101146,INV,PL-001146,15/01/2024,29160.2,MYR,15/01/2024 15:41
INV-101147,INV,PL-001147,04/02/2024,18981.8,EUR,04/02/2024 08:21
INV-101148,INV,PL-001148,01/03/2024,9259.8,EUR,01/03/2024 17:13
INV-101149,INV,PL-001149,21/01/2024,16800.0,GBP,23/01/2024 10:57
INV-101150,INV,PL-001150,27/02/2024,22357.2,USD,28/02/2024 11:14
INV-101151,INV,PL-001151,26/01/2024,10175.0,EUR,27/01/2024 16:37
INV-101152,INV,PL-001152,13/01/2024,19331.8,EUR,13/01/2024 15:45
INV-101153,INV,PL-001153,14/02/2024,17581.2,CHF,15/02/2024 18:41
CRN-200104,CRN,PL-001153,27/04/2024,4395.3,CHF,27/04/2024 13:20
INV-101154,INV,PL-001154,09/01/2024,21112.0,GBP,10/01/2024 17:50
INV-101155,INV,PL-001155,28/02/2024,13727.0,GBP,29/02/2024 15:48
INV-101156,INV,PL-001156,01/02/2024,33145.2,SGD,01/02/2024 10:55
INV-101157,INV,PL-001157,06/01/2024,12654.0,GBP,06/01/2024 19:13
INV-101158,INV,PL-001158,25/02/2024,29105.4,USD,25/02/2024 12:52
INV-101159,INV,PL-001159,12/01/2024,23643.0,CHF,13/01/2024 20:34
INV-101160,INV,PL-001160,12/02/2024,83740.8,HKD,13/02/2024 08:16
INV-101161,INV,PL-001161,06/02/2024,13757.6,EUR,07/02/2024 17:05
INV-101162,INV,PL-001162,20/02/2024,105892.8,HKD,22/02/2024 17:21
CRN-200105,CRN,PL-001162,23/04/2024,52946.4,HKD,24/04/2024 10:19
INV-101163,INV,PL-001163,18/02/2024,33782.4,SGD,20/02/2024 07:47
INV-101164,INV,PL-001164,10/02/2024,20960.9,USD,10/02/2024 16:48
INV-101165,INV,PL-001165,24/01/2024,22878.0,USD,25/01/2024 16:35
INV-101166,INV,PL-001166,17/02/2024,15957.0,EUR,17/02/2024 07:53
INV-101167,INV,PL-001167,10/01/2024,14516.0,USD,10/01/2024 10:50
INV-101168,INV,PL-001168,14/02/2024,11211.2,GBP,14/02/2024 16:54
INV-101169,INV,PL-001169,01/03/2024,94726.8,HKD,01/03/2024 11:15
INV-101170,INV,PL-001170,27/01/2024,13218.7,GBP,27/01/2024 08:34
INV-101171,INV,PL-001171,21/02/2024,11487.2,GBP,22/02/2024 17:48
INV-101172,INV,PL-001172,20/02/2024,16036.6,CHF,22/02/2024 20:30
INV-101173,INV,PL-001173,19/01/2024,20403.6,CHF,19/01/2024 17:49
INV-101174,INV,PL-001174,29/02/2024,17239.8,GBP,01/03/2024 10:37
INV-101175,INV,PL-001175,09/02/2024,26468.2,USD,10/02/2024 10:05
INV-101176,INV,PL-001176,25/01/2024,18230.8,USD,25/01/2024 19:33
INV-101177,INV,PL-001177,10/03/2024,14811.4,EUR,12/03/2024 16:03
INV-101178,INV,PL-001178,21/02/2024,15721.2,EUR,22/02/2024 18:08
INV-101179,INV,PL-001179,07/02/2024,21743.0,USD,07/02/2024 16:06
INV-101180,INV,PL-001180,15/02/2024,79257.0,HKD,15/02/2024 16:36
INV-101181,INV,PL-001181,13/01/2024,14602.5,EUR,13/01/2024 19:15
INV-101182,INV,PL-001182,02/03/2024,19285.0,EUR,02/03/2024 08:27
INV-101183,INV,PL-001183,09/03/2024,17201.0,EUR,11/03/2024 12:49
INV-101184,INV,PL-001184,12/02/2024,23140.7,USD,13/02/2024 07:26
INV-101185,INV,PL-001185,01/02/2024,20134.4,CHF,03/02/2024 19:08
INV-101186,INV,PL-001186,30/01/2024,26772.3,CHF,01/02/2024 11:34
INV-101187,INV,PL-001187,26/02/2024,26597.2,USD,27/02/2024 11:21
INV-101188,INV,PL-001188,06/03/2024,17935.2,EUR,07/03/2024 12:12
INV-101189,INV,PL-001189,01/03/2024,36603.0,USD,01/03/2024 09:40
INV-101190,INV,PL-001190,01/03/2024,13699.0,GBP,03/03/2024 08:17
INV-101191,INV,PL-001191,06/03/2024,17323.0,USD,08/03/2024 08:13
INV-101192,INV,PL-001192,19/02/2024,15190.5,GBP,20/02/2024 13:36
INV-101193,INV,PL-001193,14/03/2024,11664.0,GBP,16/03/2024 18:51
CRN-200106,CRN,PL-001193,12/05/2024,5832.0,GBP,14/05/2024 08:54
INV-101194,INV,PL-001194,24/02/2024,15347.0,GBP,26/02/2024 16:26
INV-101195,INV,PL-001195,05/03/2024,12191.2,GBP,07/03/2024 09:31
CRN-200107,CRN,PL-001195,06/04/2024,12191.2,GBP,07/04/2024 19:44
INV-101196,INV,PL-001196,04/03/2024,14851.2,EUR,06/03/2024 16:05
INV-101197,INV,PL-001197,08/02/2024,10400.0,EUR,10/02/2024 09:39
INV-101198,INV,PL-001198,14/03/2024,14596.0,EUR,14/03/2024 15:06
INV-101199,INV,PL-001199,24/01/2024,10592.4,EUR,25/01/2024 12:37
INV-101200,INV,PL-001200,17/02/2024,15931.0,EUR,19/02/2024 08:56
INV-101201,INV,PL-001201,05/02/2024,11440.9,EUR,07/02/2024 15:57
INV-101202,INV,PL-001202,04/03/2024,16968.0,GBP,04/03/2024 12:20
INV-101203,INV,PL-001203,30/01/2024,19110.2,CHF,01/02/2024 16:53
INV-101204,INV,PL-001204,05/02/2024,22589.1,CHF,05/02/2024 17:31
INV-101205,INV,PL-001205,21/01/2024,20384.1,GBP,22/01/2024 08:52
INV-101206,INV,PL-001206,02/02/2024,18969.6,GBP,02/02/2024 10:52
INV-101207,INV,PL-001207,01/02/2024,35986.0,USD,03/02/2024 17:26
INV-101208,INV,PL-001208,27/02/2024,17212.8,CHF,27/02/2024 07:48
INV-101209,INV,PL-001209,14/02/2024,19693.6,EUR,16/02/2024 18:33
INV-101210,INV,PL-001210,18/03/2024,12192.4,GBP,20/03/2024 17:45
INV-101211,INV,PL-001211,24/02/2024,19137.4,EUR,26/02/2024 09:20
INV-101212,INV,PL-001212,14/03/2024,26472.4,USD,15/03/2024 11:13
INV-101213,INV,PL-001213,12/02/2024,19130.8,EUR,12/02/2024 09:32
CRN-200108,CRN,PL-001213,01/05/2024,4782.7,EUR,03/05/2024 16:36
INV-101214,INV,PL-001214,23/02/2024,15166.8,GBP,25/02/2024 15:17
INV-101215,INV,PL-001215,19/03/2024,17782.8,EUR,19/03/2024 15:48
INV-101216,INV,PL-001216,22/03/2024,28517.5,SGD,22/03/2024 14:32
INV-101217,INV,PL-001217,28/02/2024,19514.3,EUR,29/02/2024 10:09
INV-101218,INV,PL-001218,01/02/2024,29808.3,USD,02/02/2024 12:11
INV-101219,INV,PL-001219,07/02/2024,155589.0,HKD,07/02/2024 18:38
CRN-200109,CRN,PL-001219,17/04/2024,38897.25,HKD,17/04/2024 08:59
INV-101220,INV,PL-001220,18/02/2024,22191.8,USD,19/02/2024 12:44
INV-101221,INV,PL-001221,05/02/2024,22623.3,CHF,07/02/2024 19:53
INV-101222,INV,PL-001222,21/02/2024,20932.8,SGD,21/02/2024 17:01
INV-101223,INV,PL-001223,01/03/2024,13134.0,GBP,01/03/2024 17:00
INV-101224,INV,PL-001224,13/03/2024,26746.8,CHF,13/03/2024 08:18
INV-101225,INV,PL-001225,19/03/2024,14230.7,EUR,20/03/2024 09:51
INV-101226,INV,PL-001226,17/03/2024,10312.4,EUR,19/03/2024 15:51
INV-101227,INV,PL-001227,09/03/2024,15219.0,USD,10/03/2024 18:03
CRN-200110,CRN,PL-001227,18/04/2024,7609.5,USD,20/04/2024 08:26
INV-101228,INV,PL-001228,14/02/2024,19504.0,EUR,14/02/2024 12:17
INV-101229,INV,PL-001229,05/03/2024,32064.3,SGD,06/03/2024 15:04
INV-101230,INV,PL-001230,06/02/2024,18470.4,GBP,06/02/2024 16:28
INV-101231,INV,PL-001231,11/02/2024,10062.0,EUR,13/02/2024 11:59
INV-101232,INV,PL-001232,27/02/2024,31404.1,USD,27/02/2024 19:12
INV-101233,INV,PL-001233,08/02/2024,14912.4,GBP,09/02/2024 14:23
INV-101234,INV,PL-001234,11/03/2024,18431.5,GBP,12/03/2024 18:48
INV-101235,INV,PL-001235,05/02/2024,11320.8,EUR,05/02/2024 15:38
CRN-200111,CRN,PL-001235,23/04/2024,2830.2,EUR,24/04/2024 12:07
INV-101236,INV,PL-001236,03/03/2024,20708.1,EUR,05/03/2024 19:20
INV-101237,INV,PL-001237,27/02/2024,14701.6,GBP,27/02/2024 14:54
INV-101238,INV,PL-001238,08/02/2024,17472.0,GBP,09/02/2024 17:36
INV-101239,INV,PL-001239,08/03/2024,12556.8,EUR,10/03/2024 14:08
INV-101240,INV,PL-001240,12/02/2024,20743.2,EUR,12/02/2024 16:56
CRN-200112,CRN,PL-001240,23/02/2024,20743.2,EUR,25/02/2024 09:14
INV-101241,INV,PL-001241,28/02/2024,10782.4,EUR,01/03/2024 11:09
INV-101242,INV,PL-001242,06/03/2024,22155.9,SGD,07/03/2024 20:56
INV-101243,INV,PL-001243,24/02/2024,72303.0,HKD,24/02/2024 11:52
INV-101244,INV,PL-001244,14/03/2024,21548.8,EUR,15/03/2024 12:08
INV-101245,INV,PL-001245,09/03/2024,17180.8,SGD,10/03/2024 18:45
INV-101246,INV,PL-001246,28/02/2024,24660.5,CHF,01/03/2024 12:47
INV-101247,INV,PL-001247,18/02/2024,22644.0,EUR,19/02/2024 16:16
INV-101248,INV,PL-001248,03/03/2024,11309.2,EUR,05/03/2024 13:23
INV-101249,INV,PL-001249,30/03/2024,13513.5,GBP,31/03/2024 20:38
INV-101250,INV,PL-001250,20/03/2024,13721.4,EUR,22/03/2024 08:27
INV-101251,INV,PL-001251,19/02/2024,19864.8,USD,20/02/2024 09:21
INV-101252,INV,PL-001252,11/03/2024,16123.6,EUR,11/03/2024 18:16
INV-101253,INV,PL-001253,05/03/2024,27356.1,MYR,07/03/2024 09:32
INV-101254,INV,PL-001254,20/02/2024,13475.7,EUR,21/02/2024 17:01
INV-101255,INV,PL-001255,01/04/2024,12814.8,GBP,03/04/2024 10:27
INV-101256,INV,PL-001256,21/02/2024,34652.8,USD,23/02/2024 16:11
INV-101257,INV,PL-001257,25/02/2024,20455.2,CHF,27/02/2024 14:32
INV-101258,INV,PL-001258,12/02/2024,15922.0,GBP,13/02/2024 12:09
INV-101259,INV,PL-001259,03/04/2024,11750.0,GBP,05/04/2024 10:49
INV-101260,INV,PL-001260,29/03/2024,12669.0,EUR,29/03/2024 10:10
INV-101261,INV,PL-001261,16/02/2024,17298.0,GBP,18/02/2024 12:24
INV-101262,INV,PL-001262,18/03/2024,21882.9,EUR,18/03/2024 08:44
INV-101263,INV,PL-001263,19/02/2024,30281.0,MYR,21/02/2024 17:44
INV-101264,INV,PL-001264,05/04/2024,13083.2,EUR,05/04/2024 16:49
INV-101265,INV,PL-001265,24/03/2024,15793.0,EUR,26/03/2024 17:12
INV-101266,INV,PL-001266,07/04/2024,19580.0,GBP,07/04/2024 14:29
INV-101267,INV,PL-001267,23/03/2024,15138.9,EUR,24/03/2024 07:33
INV-101268,INV,PL-001268,02/03/2024,16039.5,GBP,03/03/2024 19:40
INV-101269,INV,PL-001269,25/03/2024,12659.2,GBP,26/03/2024 11:25
INV-101270,INV,PL-001270,04/03/2024,17292.9,EUR,04/03/2024 09:17
INV-101271,INV,PL-001271,05/04/2024,142128.0,HKD,07/04/2024 11:48
CRN-200113,CRN,PL-001271,16/06/2024,35532.0,HKD,17/06/2024 11:22
INV-101272,INV,PL-001272,23/02/2024,19179.9,EUR,24/02/2024 16:56
INV-101273,INV,PL-001273,15/03/2024,18527.0,EUR,17/03/2024 19:49
INV-101274,INV,PL-001274,08/04/2024,16354.8,USD,10/04/2024 08:14
INV-101275,INV,PL-001275,12/04/2024,19249.6,GBP,13/04/2024 17:18
CRN-200114,CRN,PL-001275,22/05/2024,9624.8,GBP,24/05/2024 18:55
INV-101276,INV,PL-001276,21/02/2024,17342.8,GBP,23/02/2024 10:59
INV-101277,INV,PL-001277,10/03/2024,17524.4,GBP,10/03/2024 09:46
INV-101278,INV,PL-001278,21/03/2024,27702.0,USD,23/03/2024 07:33
INV-101279,INV,PL-001279,08/03/2024,15398.4,EUR,09/03/2024 16:44
CRN-200115,CRN,PL-001279,12/04/2024,15398.4,EUR,13/04/2024 09:56
INV-101280,INV,PL-001280,24/02/2024,10555.4,GBP,24/02/2024 11:14
INV-101281,INV,PL-001281,03/04/2024,28840.0,MYR,03/04/2024 18:40
INV-101282,INV,PL-001282,28/03/2024,25123.0,GBP,29/03/2024 13:19
INV-101283,INV,PL-001283,12/03/2024,128079.7,HKD,14/03/2024 20:05
INV-101284,INV,PL-001284,21/03/2024,12600.0,GBP,22/03/2024 12:08
INV-101285,INV,PL-001285,02/03/2024,20252.1,GBP,02/03/2024 18:16
INV-101286,INV,PL-001286,18/04/2024,12791.7,GBP,19/04/2024 18:33
CRN-200116,CRN,PL-001286,06/07/2024,3197.93,GBP,07/07/2024 14:26
INV-101287,INV,PL-001287,15/03/2024,120213.0,HKD,17/03/2024 07:02
INV-101288,INV,PL-001288,12/04/2024,23656.2,CHF,13/04/2024 18:56
INV-101289,INV,PL-001289,17/04/2024,11304.6,EUR,17/04/2024 09:15
INV-101290,INV,PL-001290,15/04/2024,19890.0,EUR,15/04/2024 20:29
INV-101291,INV,PL-001291,24/02/2024,11713.2,EUR,25/02/2024 15:54
INV-101292,INV,PL-001292,06/03/2024,27734.3,SGD,06/03/2024 18:46
INV-101293,INV,PL-001293,23/04/2024,15379.2,EUR,24/04/2024 07:14
INV-101294,INV,PL-001294,29/02/2024,154890.6,HKD,29/02/2024 16:02
INV-101295,INV,PL-001295,27/03/2024,19427.1,GBP,28/03/2024 19:51
INV-101296,INV,PL-001296,12/04/2024,16094.9,EUR,12/04/2024 20:39
INV-101297,INV,PL-001297,11/04/2024,19639.2,USD,13/04/2024 12:52
INV-101298,INV,PL-001298,26/03/2024,21760.2,CHF,26/03/2024 18:57
CRN-200117,CRN,PL-001298,01/06/2024,5440.05,CHF,03/06/2024 10:26
INV-101299,INV,PL-001299,19/04/2024,16005.0,GBP,19/04/2024 20:53
INV-101300,INV,PL-001300,09/03/2024,23999.0,USD,09/03/2024 19:38
CRN-200118,CRN,PL-001300,18/04/2024,23999.0,USD,20/04/2024 11:14
INV-101301,INV,PL-001301,29/04/2024,23707.4,USD,01/05/2024 19:09
INV-101302,INV,PL-001302,22/04/2024,12904.2,EUR,22/04/2024 12:21
INV-101303,INV,PL-001303,10/03/2024,28569.6,SGD,10/03/2024 11:42
INV-101304,INV,PL-001304,22/03/2024,32769.2,USD,22/03/2024 17:33
INV-101305,INV,PL-001305,16/04/2024,31902.2,MYR,16/04/2024 18:25
INV-101306,INV,PL-001306,24/03/2024,16008.0,GBP,26/03/2024 17:11
INV-101307,INV,PL-001307,02/04/2024,30528.0,CHF,04/04/2024 08:59
INV-101308,INV,PL-001308,14/03/2024,16663.2,GBP,15/03/2024 12:48
INV-101309,INV,PL-001309,10/03/2024,17956.8,EUR,10/03/2024 12:30
CRN-200119,CRN,PL-001309,16/04/2024,17956.8,EUR,16/04/2024 17:22
INV-101310,INV,PL-001310,13/04/2024,10873.2,USD,13/04/2024 15:33
INV-101311,INV,PL-001311,22/04/2024,11573.1,EUR,24/04/2024 10:25
INV-101312,INV,PL-001312,01/04/2024,20439.1,EUR,02/04/2024 11:51
CRN-200120,CRN,PL-001312,15/05/2024,10219.55,EUR,16/05/2024 11:31
INV-101313,INV,PL-001313,01/04/2024,12342.0,GBP,03/04/2024 15:31
INV-101314,INV,PL-001314,03/05/2024,16652.0,EUR,04/05/2024 07:40
INV-101315,INV,PL-001315,15/03/2024,33375.8,SGD,15/03/2024 12:31
INV-101316,INV,PL-001316,15/03/2024,22779.9,USD,16/03/2024 10:54
INV-101317,INV,PL-001317,08/04/2024,12553.8,EUR,08/04/2024 14:00
INV-101318,INV,PL-001318,13/03/2024,21248.0,USD,14/03/2024 10:58
INV-101319,INV,PL-001319,22/03/2024,32177.6,USD,22/03/2024 12:47
INV-101320,INV,PL-001320,29/04/2024,24364.8,GBP,29/04/2024 13:52
INV-101321,INV,PL-001321,09/04/2024,17860.0,EUR,10/04/2024 12:30
INV-101322,INV,PL-001322,05/04/2024,10741.7,GBP,07/04/2024 16:14
INV-101323,INV,PL-001323,13/04/2024,27954.0,USD,15/04/2024 20:23
INV-101324,INV,PL-001324,24/03/2024,14288.2,GBP,26/03/2024 14:19
INV-101325,INV,PL-001325,04/04/2024,11931.0,EUR,04/04/2024 17:52
INV-101326,INV,PL-001326,06/04/2024,18879.0,GBP,07/04/2024 20:13
INV-101327,INV,PL-001327,12/03/2024,17345.1,GBP,13/03/2024 19:13
INV-101328,INV,PL-001328,15/03/2024,10619.0,GBP,15/03/2024 18:45
INV-101329,INV,PL-001329,22/04/2024,13722.8,EUR,22/04/2024 10:51
INV-101330,INV,PL-001330,25/04/2024,12579.0,GBP,27/04/2024 14:31
INV-101331,INV,PL-001331,15/04/2024,29190.0,USD,16/04/2024 09:20
INV-101332,INV,PL-001332,03/05/2024,24128.0,USD,04/05/2024 20:46
INV-101333,INV,PL-001333,01/05/2024,157238.2,HKD,03/05/2024 10:26
CRN-200121,CRN,PL-001333,17/06/2024,78619.1,HKD,17/06/2024 10:02
INV-101334,INV,PL-001334,17/04/2024,17740.8,EUR,19/04/2024 19:45
INV-101335,INV,PL-001335,19/03/2024,20770.3,EUR,19/03/2024 07:25
CRN-200122,CRN,PL-001335,11/04/2024,20770.3,EUR,12/04/2024 10:30
INV-101336,INV,PL-001336,01/04/2024,18604.6,EUR,03/04/2024 15:32
INV-101337,INV,PL-001337,22/03/2024,17698.1,EUR,22/03/2024 19:03
INV-101338,INV,PL-001338,21/03/2024,15899.1,EUR,21/03/2024 20:39
INV-101339,INV,PL-001339,16/04/2024,27878.7,USD,16/04/2024 09:06
INV-101340,INV,PL-001340,09/05/2024,15022.8,GBP,09/05/2024 19:01
INV-101341,INV,PL-001341,11/04/2024,11563.2,GBP,11/04/2024 07:13
INV-101342,INV,PL-001342,05/04/2024,11935.0,USD,05/04/2024 14:36
CRN-200123,CRN,PL-001342,11/06/2024,2983.75,USD,11/06/2024 15:20
INV-101343,INV,PL-001343,21/03/2024,202684.7,HKD,23/03/2024 10:16
INV-101344,INV,PL-001344,01/04/2024,20314.8,GBP,03/04/2024 19:48
INV-101345,INV,PL-001345,22/04/2024,12426.0,EUR,22/04/2024 17:23
INV-101346,INV,PL-001346,26/03/2024,18943.5,EUR,28/03/2024 16:10
CRN-200124,CRN,PL-001346,10/04/2024,18943.5,EUR,12/04/2024 11:37
INV-101347,INV,PL-001347,09/05/2024,15615.6,GBP,09/05/2024 10:02
INV-101348,INV,PL-001348,25/03/2024,19168.4,SGD,27/03/2024 19:29
INV-101349,INV,PL-001349,14/04/2024,20167.4,EUR,15/04/2024 09:41
INV-101350,INV,PL-001350,05/05/2024,27620.5,USD,06/05/2024 20:50
INV-101351,INV,PL-001351,16/04/2024,18544.5,EUR,16/04/2024 15:44
INV-101352,INV,PL-001352,13/04/2024,22872.4,CHF,14/04/2024 16:28
INV-101353,INV,PL-001353,02/05/2024,44537.2,MYR,02/05/2024 18:38
CRN-200125,CRN,PL-001353,28/07/2024,11134.3,MYR,28/07/2024 19:21
INV-101354,INV,PL-001354,09/04/2024,17208.6,EUR,10/04/2024 17:40
INV-101355,INV,PL-001355,22/04/2024,10333.2,GBP,24/04/2024 15:16
CRN-200126,CRN,PL-001355,11/05/2024,10333.2,GBP,11/05/2024 20:18
INV-101356,INV,PL-001356,04/05/2024,11537.0,EUR,05/05/2024 07:21
INV-101357,INV,PL-001357,26/03/2024,17728.4,GBP,27/03/2024 20:33
INV-101358,INV,PL-001358,22/04/2024,44550.0,MYR,24/04/2024 14:55
INV-101359,INV,PL-001359,27/03/2024,26840.0,GBP,27/03/2024 11:02
INV-101360,INV,PL-001360,19/04/2024,13847.0,EUR,20/04/2024 10:18
INV-101361,INV,PL-001361,06/05/2024,30630.6,EUR,08/05/2024 11:52
CRN-200127,CRN,PL-001361,16/07/2024,7657.65,EUR,18/07/2024 15:58
INV-101362,INV,PL-001362,21/03/2024,21424.0,USD,22/03/2024 09:26
INV-101363,INV,PL-001363,21/05/2024,17628.0,GBP,21/05/2024 13:23
INV-101364,INV,PL-001364,09/05/2024,15124.0,EUR,10/05/2024 13:26
INV-101365,INV,PL-001365,01/04/2024,22334.4,USD,01/04/2024 20:33
CRN-200128,CRN,PL-001365,20/05/2024,11167.2,USD,20/05/2024 14:35
INV-101366,INV,PL-001366,27/03/2024,15939.0,GBP,29/03/2024 19:10
CRN-200129,CRN,PL-001366,27/04/2024,15939.0,GBP,29/04/2024 16:31
INV-101367,INV,PL-001367,16/04/2024,26932.8,USD,18/04/2024 07:25
INV-101368,INV,PL-001368,09/04/2024,30078.5,CHF,09/04/2024 13:01
INV-101369,INV,PL-001369,07/05/2024,18436.8,USD,08/05/2024 11:41
INV-101370,INV,PL-001370,12/05/2024,17158.7,EUR,12/05/2024 15:49
INV-101371,INV,PL-001371,30/03/2024,27376.8,GBP,01/04/2024 08:10
INV-101372,INV,PL-001372,03/05/2024,17972.5,GBP,04/05/2024 13:15
INV-101373,INV,PL-001373,01/05/2024,24080.0,GBP,02/05/2024 20:28
INV-101374,INV,PL-001374,16/04/2024,21631.8,USD,17/04/2024 15:46
INV-101375,INV,PL-001375,02/05/2024,26058.5,GBP,04/05/2024 10:37
INV-101376,INV,PL-001376,23/04/2024,19325.7,EUR,23/04/2024 11:12
INV-101377,INV,PL-001377,13/05/2024,19572.0,EUR,14/05/2024 08:23
INV-101378,INV,PL-001378,11/04/2024,14869.4,GBP,11/04/2024 10:32
INV-101379,INV,PL-001379,30/03/2024,25698.8,SGD,31/03/2024 09:49
INV-101380,INV,PL-001380,19/04/2024,23108.8,CHF,21/04/2024 16:11
INV-101381,INV,PL-001381,02/04/2024,11271.2,EUR,02/04/2024 07:26
INV-101382,INV,PL-001382,13/05/2024,18725.0,EUR,15/05/2024 10:07
INV-101383,INV,PL-001383,17/05/2024,19306.8,GBP,17/05/2024 11:59
INV-101384,INV,PL-001384,01/05/2024,20430.9,EUR,01/05/2024 20:24
INV-101385,INV,PL-001385,22/05/2024,18257.4,CHF,23/05/2024 20:53
CRN-200130,CRN,PL-001385,24/07/2024,9128.7,CHF,25/07/2024 10:33
INV-101386,INV,PL-001386,21/05/2024,35897.8,CHF,21/05/2024 13:17
INV-101387,INV,PL-001387,29/04/2024,26843.0,SGD,01/05/2024 13:13
INV-101388,INV,PL-001388,05/05/2024,13744.8,GBP,06/05/2024 18:47
INV-101389,INV,PL-001389,08/04/2024,19328.4,EUR,09/04/2024 16:03
INV-101390,INV,PL-001390,25/05/2024,10171.2,EUR,25/05/2024 20:35
INV-101391,INV,PL-001391,08/04/2024,19536.4,SGD,08/04/2024 11:13
CRN-200131,CRN,PL-001391,11/05/2024,19536.4,SGD,13/05/2024 07:30
INV-101392,INV,PL-001392,18/05/2024,10400.0,GBP,20/05/2024 16:04
INV-101393,INV,PL-001393,14/04/2024,18965.4,GBP,15/04/2024 18:40
INV-101394,INV,PL-001394,16/04/2024,19558.0,GBP,17/04/2024 17:48
INV-101395,INV,PL-001395,22/05/2024,15552.0,GBP,24/05/2024 15:16
INV-101396,INV,PL-001396,04/05/2024,19023.6,CHF,05/05/2024 08:42
INV-101397,INV,PL-001397,01/05/2024,19942.3,EUR,03/05/2024 13:57
INV-101398,INV,PL-001398,16/05/2024,15941.8,GBP,17/05/2024 07:27
INV-101399,INV,PL-001399,27/04/2024,23154.0,USD,28/04/2024 13:01
INV-101400,INV,PL-001400,28/05/2024,25552.0,USD,28/05/2024 18:55
INV-101401,INV,PL-001401,14/04/2024,45300.4,USD,15/04/2024 17:32
INV-101402,INV,PL-001402,17/05/2024,17255.7,GBP,18/05/2024 08:09
INV-101403,INV,PL-001403,17/04/2024,12057.2,EUR,19/04/2024 12:23
INV-101404,INV,PL-001404,30/05/2024,23131.9,CHF,31/05/2024 19:39
INV-101405,INV,PL-001405,26/05/2024,28611.8,CHF,26/05/2024 11:49
INV-101406,INV,PL-001406,28/04/2024,126108.6,HKD,28/04/2024 10:50
INV-101407,INV,PL-001407,25/04/2024,28280.0,USD,27/04/2024 16:45
INV-101408,INV,PL-001408,29/05/2024,16370.7,EUR,30/05/2024 19:30
INV-101409,INV,PL-001409,07/04/2024,26852.0,EUR,09/04/2024 17:26
INV-101410,INV,PL-001410,29/05/2024,20079.0,EUR,29/05/2024 10:04
INV-101411,INV,PL-001411,10/05/2024,11447.1,GBP,10/05/2024 18:35
INV-101412,INV,PL-001412,26/04/2024,102839.4,HKD,27/04/2024 12:23
INV-101413,INV,PL-001413,10/04/2024,20624.8,GBP,12/04/2024 08:21
CRN-200132,CRN,PL-001413,18/05/2024,20624.8,GBP,20/05/2024 16:25
INV-101414,INV,PL-001414,04/05/2024,13870.0,EUR,06/05/2024 16:16
INV-101415,INV,PL-001415,31/05/2024,149489.6,HKD,02/06/2024 11:31
INV-101416,INV,PL-001416,27/04/2024,26904.0,GBP,27/04/2024 19:34
INV-101417,INV,PL-001417,15/04/2024,18418.4,EUR,15/04/2024 10:57
INV-101418,INV,PL-001418,17/05/2024,32742.0,USD,19/05/2024 12:36
INV-101419,INV,PL-001419,08/05/2024,16598.0,GBP,10/05/2024 12:41
INV-101420,INV,PL-001420,11/04/2024,14601.2,EUR,13/04/2024 19:05
CRN-200133,CRN,PL-001420,24/05/2024,14601.2,EUR,25/05/2024 16:55
INV-101421,INV,PL-001421,08/04/2024,13632.3,GBP,10/04/2024 15:57
INV-101422,INV,PL-001422,24/05/2024,14323.4,EUR,25/05/2024 18:31
INV-101423,INV,PL-001423,30/05/2024,19972.8,EUR,31/05/2024 11:23
INV-101424,INV,PL-001424,25/05/2024,16360.0,EUR,27/05/2024 10:12
INV-101425,INV,PL-001425,05/06/2024,32107.0,MYR,06/06/2024 15:52
INV-101426,INV,PL-001426,10/05/2024,14305.8,GBP,11/05/2024 12:15
INV-101427,INV,PL-001427,07/06/2024,16506.4,GBP,07/06/2024 13:09
